filepath,transcript_path,profession
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0420-S1-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0420-S1-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0420-S1-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0420-S1-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0420-S1-T03.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0420-S1-T03.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0420-S1-T04.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0420-S1-T04.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0420-S1-T05.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0420-S1-T05.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0420-S2-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0420-S2-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0420-S3-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0420-S3-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0420-S3-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0420-S3-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0420-S3-T03.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0420-S3-T03.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0420-S4-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0420-S4-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0420-S4-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0420-S4-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0421-S1-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0421-S1-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0421-S1-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0421-S1-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0421-S1-T03.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0421-S1-T03.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0421-S1-T04.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0421-S1-T04.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0421-S1-T05.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0421-S1-T05.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0421-S2-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0421-S2-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0421-S2-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0421-S2-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0421-S3-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0421-S3-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0421-S3-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0421-S3-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0421-S3-T03.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0421-S3-T03.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0421-S3-T04.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0421-S3-T04.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0421-S3-T05.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0421-S3-T05.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S1-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S1-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S1-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S1-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S1-T03.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S1-T03.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S1-T04.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S1-T04.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S2-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S2-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S2-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S2-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S3-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S3-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S3-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S3-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S3-T03.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S3-T03.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S3-T04.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S3-T04.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S3-T05.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S3-T05.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S3-T06.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S3-T06.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S4-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S4-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S4-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S4-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S4-T03.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S4-T03.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S4-T04.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S4-T04.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0422-S4-T05.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0422-S4-T05.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0423-S1-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0423-S1-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0423-S1-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0423-S1-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0423-S1-T03.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0423-S1-T03.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0423-S2-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0423-S2-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0423-S2-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0423-S2-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0423-S2-T03.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0423-S2-T03.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0424-S1-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0424-S1-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0424-S1-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0424-S1-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0424-S1-T03.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0424-S1-T03.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0424-S2-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0424-S2-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0424-S2-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0424-S2-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0424-S2-T03.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0424-S2-T03.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0424-S2-T04.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0424-S2-T04.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0424-S2-T05.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0424-S2-T05.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0424-S2-T06.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0424-S2-T06.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0424-S3-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0424-S3-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0424-S3-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0424-S3-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0424-S3-T03.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0424-S3-T03.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0424-S3-T04.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0424-S3-T04.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0425-S1-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0425-S1-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0425-S1-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0425-S1-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0425-S1-T03.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0425-S1-T03.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0425-S2-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0425-S2-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0425-S2-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0425-S2-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0425-S2-T03.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0425-S2-T03.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0425-S2-T04.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0425-S2-T04.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0425-S3-T01.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0425-S3-T01.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0425-S3-T02.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0425-S3-T02.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0425-S3-T03.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0425-S3-T03.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0425-S3-T04.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0425-S3-T04.pdf,psychiatrist
C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/recordings\D0425-S3-T05.wav,C:/Users/user/Desktop/датасет_врач/dataset_automated_medical_transcription-1.0/transcripts/source\D0425-S3-T05.pdf,psychiatrist
